"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.item"	"Answer.target_property"	"Answer.target_position"	"Answer.left_items"	"Answer.middle_items"	"Answer.right_items"	"Answer.position_chosen"	"Answer.items_chosen"	"Answer.target_frequency"	"Answer.familiarization_cond"	"Answer.participant_response_type_condition"	"Answer.participant_feature_count_condition"	"Answer.linguistic_framing_condition"	"Answer.target_filler_sequence_condition"	"Answer.question_type_condition"	"Answer.manip_check_target"	"Answer.manip_check_dist"	"Answer.manip_check_foil"	"Answer.name_check_correct"	"Answer.choice"	"Answer.choice_correct"	"Answer.money_allocated_to_foil"	"Answer.money_allocated_to_target"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_foil"	"Answer.Likert_value_target"	"Answer.Likert_value_logical"	"Answer.about"	"Answer.comment"	"Answer.age"	"Answer.gender"	"Answer.scale_and_levels_condition"	"Answer.familiarization_present_in_study"	"Answer.top_question_order"	"Answer.middle_question_order"	"Answer.bottom_question_order"	"Answer.image_version"	"Answer.hand_position"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3AAPLD8UCCHSXTDAPB27QU9AQ5JHT4"	"A2W2ZEI7WUASOW"	"Approved"	"Thu Feb 12 11:43:44 PST 2015"	"Wed Feb 11 19:02:22 PST 2015"	"Wed Feb 11 19:03:44 PST 2015"	"Wed Feb 11 19:06:30 PST 2015"	""	""	""	""	"""boat"""	"""motor"""	"""right"""	"""sail,motor,"""	"""cabin,motor,"""	"""cabin,sail,"""	"""left"""	"""sail,motor,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""twin_2"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Deciding which boat Bob wants to use"""	"""no"""	"""50"""	"""f"""	"8"	"0"	"2"	"0"	"1"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3XIQGXAUMC82LLGIHCHSOK5MPYB7XB"	"A2OG7XGWOX5ZEF"	"Approved"	"Thu Feb 12 11:44:07 PST 2015"	"Wed Feb 11 19:02:42 PST 2015"	"Wed Feb 11 19:04:07 PST 2015"	"Wed Feb 11 19:06:31 PST 2015"	""	""	""	""	"""snowman"""	"""mittens"""	"""left"""	"""hat,scarf,"""	"""scarf,mittens,"""	"""hat,mittens,"""	"""middle"""	"""scarf,mittens,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""twin_1"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Guessing what snowman Bob would make next"""	"""no"""	"""27"""	"""m"""	"8"	"0"	"1"	"2"	"0"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3MHW492WW0DT2ZIAL3IZJH5R4CYVM7"	"ANV4TUKMWLA8E"	"Approved"	"Thu Feb 12 11:45:53 PST 2015"	"Wed Feb 11 19:04:13 PST 2015"	"Wed Feb 11 19:05:53 PST 2015"	"Wed Feb 11 19:35:20 PST 2015"	""	""	""	""	"""boat"""	"""cabin"""	"""middle"""	"""cabin,sail,"""	"""sail,motor,"""	"""cabin,motor,"""	"""left"""	"""cabin,sail,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""twin_2"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Bob and his love of boats."""	""""""	"""34"""	"""f"""	"8"	"0"	"1"	"2"	"0"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3M81GAB8A0J5E0IW8FYGZEVPBLFQBJ"	"A2ZGK83VBPV7NQ"	"Approved"	"Thu Feb 12 11:47:01 PST 2015"	"Wed Feb 11 19:04:57 PST 2015"	"Wed Feb 11 19:07:01 PST 2015"	"Wed Feb 11 19:35:20 PST 2015"	""	""	""	""	"""pizza"""	"""mushrooms"""	"""right"""	"""mushrooms,olives,"""	"""mushrooms,peppers,"""	"""olives,peppers,"""	"""right"""	"""olives,peppers,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""odd_one"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Bob and his love for Pizzas, and what did Bob say about said pizzas"""	"""I love PIZZA!!!!!!"""	"""22"""	"""m"""	"8"	"0"	"2"	"0"	"1"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3PDJHANYK5GMVV2YTYUEFKHW6X9H6U"	"A3EN8YJONL4LG4"	"Approved"	"Thu Feb 12 11:47:32 PST 2015"	"Wed Feb 11 19:04:27 PST 2015"	"Wed Feb 11 19:07:32 PST 2015"	"Wed Feb 11 19:35:21 PST 2015"	""	""	""	""	"""snowman"""	"""hat"""	"""right"""	"""hat,mittens,"""	"""hat,scarf,"""	"""scarf,mittens,"""	"""right"""	"""scarf,mittens,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""odd_one"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""building snowmen"""	"""This was fun. Nice and short."""	"""39"""	"""m"""	"8"	"0"	"1"	"2"	"0"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3PQMUDRV7R62KA8J1HLOCZ8GF1IIIH"	"A5185O72WJIP9"	"Approved"	"Thu Feb 12 11:48:50 PST 2015"	"Wed Feb 11 19:08:14 PST 2015"	"Wed Feb 11 19:08:50 PST 2015"	"Wed Feb 11 19:35:27 PST 2015"	""	""	""	""	"""sundae"""	"""chocolate"""	"""right"""	"""whipped cream,chocolate,"""	"""cherry,chocolate,"""	"""cherry,whipped cream,"""	"""middle"""	"""cherry,chocolate,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""twin_2"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Icecream"""	"""odd survey"""	"""19"""	"""m"""	"8"	"0"	"2"	"1"	"0"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3ZV9H2YQQD75V2A55VIG9KFZBUJW32"	"AAD47Y3HBPQT7"	"Approved"	"Thu Feb 12 11:49:06 PST 2015"	"Wed Feb 11 19:07:51 PST 2015"	"Wed Feb 11 19:09:06 PST 2015"	"Wed Feb 11 19:35:27 PST 2015"	""	""	""	""	"""friend"""	"""hat"""	"""left"""	"""glasses,mustache,"""	"""hat,mustache,"""	"""hat,glasses,"""	"""left"""	"""glasses,mustache,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""odd_one"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Bob goes to meet a friend every Sunday.  Which friend do you think is the one he describes as \""mumblemumble\""?"""	""""""	"""27"""	"""f"""	"8"	"0"	"1"	"2"	"0"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3L4PIM1GQTG139Q7VM10CF3VSGZYR7"	"A127F80LLYOQ22"	"Approved"	"Thu Feb 12 11:49:19 PST 2015"	"Wed Feb 11 19:07:58 PST 2015"	"Wed Feb 11 19:09:19 PST 2015"	"Wed Feb 11 19:35:27 PST 2015"	""	""	""	""	"""friend"""	"""hat"""	"""middle"""	"""hat,mustache,"""	"""glasses,mustache,"""	"""hat,glasses,"""	"""right"""	"""hat,glasses,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""twin_2"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Bob going to meet up with a friend"""	"""no"""	"""49"""	"""f"""	"8"	"0"	"1"	"0"	"2"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"39ZSFO5CA8W3OCNPDGV273BRMBVJU3"	"A2B5JKJCRHLOCY"	"Approved"	"Thu Feb 12 11:49:42 PST 2015"	"Wed Feb 11 19:07:51 PST 2015"	"Wed Feb 11 19:09:42 PST 2015"	"Wed Feb 11 19:35:28 PST 2015"	""	""	""	""	"""friend"""	"""mustache"""	"""middle"""	"""glasses,mustache,"""	"""hat,glasses,"""	"""hat,mustache,"""	"""middle"""	"""hat,glasses,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""odd_one"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""meanings of words"""	""""""	"""62"""	"""m"""	"8"	"0"	"2"	"1"	"0"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3M68NM076H7ZKPG1P368TOJ2T676RG"	"AS109WTSIA8NU"	"Approved"	"Thu Feb 12 11:49:47 PST 2015"	"Wed Feb 11 19:08:22 PST 2015"	"Wed Feb 11 19:09:47 PST 2015"	"Wed Feb 11 19:35:28 PST 2015"	""	""	""	""	"""sundae"""	"""chocolate"""	"""middle"""	"""whipped cream,chocolate,"""	"""cherry,whipped cream,"""	"""cherry,chocolate,"""	"""middle"""	"""cherry,whipped cream,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""odd_one"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Bob and his sundaes"""	"""Bizarre :)"""	"""35"""	"""m"""	"8"	"0"	"2"	"0"	"1"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3DHE4R9OCWBKDYOMMQ0T47OJBSTG2C"	"A2B4GWF7MF7AOB"	"Approved"	"Thu Feb 12 11:50:42 PST 2015"	"Wed Feb 11 19:08:05 PST 2015"	"Wed Feb 11 19:10:42 PST 2015"	"Wed Feb 11 19:35:28 PST 2015"	""	""	""	""	"""friend"""	"""glasses"""	"""middle"""	"""glasses,mustache,"""	"""hat,mustache,"""	"""hat,glasses,"""	"""left"""	"""glasses,mustache,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""twin_1"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""visiting friends"""	""""""	""""""	"""m"""	"8"	"0"	"2"	"0"	"1"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3PPTZCWALQK1WYLCETEJLW2S2O1QZP"	"A32QBXDPHHSTOD"	"Approved"	"Thu Feb 12 11:50:59 PST 2015"	"Wed Feb 11 19:10:20 PST 2015"	"Wed Feb 11 19:10:59 PST 2015"	"Wed Feb 11 19:35:28 PST 2015"	""	""	""	""	"""boat"""	"""motor"""	"""right"""	"""sail,motor,"""	"""cabin,motor,"""	"""cabin,sail,"""	"""left"""	"""sail,motor,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""twin_2"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Communication of a word"""	""""""	"""28"""	"""m"""	"8"	"0"	"2"	"1"	"0"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3HWRJOOET52FYJ9TAAPBVMGBW6EESX"	"A2IJ0Y3XOSHMNJ"	"Approved"	"Thu Feb 12 11:51:04 PST 2015"	"Wed Feb 11 19:09:30 PST 2015"	"Wed Feb 11 19:11:04 PST 2015"	"Wed Feb 11 19:35:28 PST 2015"	""	""	""	""	"""boat"""	"""motor"""	"""left"""	"""cabin,sail,"""	"""cabin,motor,"""	"""sail,motor,"""	"""left"""	"""cabin,sail,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""odd_one"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""bob and the boats he rents on the weekends"""	"""no, I do not."""	"""27"""	"""f"""	"8"	"0"	"0"	"1"	"2"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3H7XDTSHKCR6PEMT0AP0SE48FZOWGA"	"A2359YG3YH3M31"	"Approved"	"Thu Feb 12 11:51:07 PST 2015"	"Wed Feb 11 19:10:42 PST 2015"	"Wed Feb 11 19:11:07 PST 2015"	"Wed Feb 11 19:35:28 PST 2015"	""	""	""	""	"""pizza"""	"""mushrooms"""	"""right"""	"""mushrooms,olives,"""	"""mushrooms,peppers,"""	"""olives,peppers,"""	"""middle"""	"""mushrooms,peppers,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""twin_2"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""dont know"""	"""none"""	""""""	""""""	"8"	"0"	"0"	"2"	"1"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3YDGXNSEOZUFNXXR767T594J7ND48H"	"A2CHFNALW75F5W"	"Approved"	"Thu Feb 12 11:51:29 PST 2015"	"Wed Feb 11 19:08:58 PST 2015"	"Wed Feb 11 19:11:29 PST 2015"	"Wed Feb 11 19:35:29 PST 2015"	""	""	""	""	"""boat"""	"""cabin"""	"""right"""	"""cabin,motor,"""	"""cabin,sail,"""	"""sail,motor,"""	"""middle"""	"""cabin,sail,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""twin_1"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Bob's choice in boats"""	"""Kinda hard to figure out. I just went off of \""Which boat will he SAIL next\"" and picked one with a cabin because it seemed like a nice thing to have."""	"""21"""	"""f"""	"8"	"0"	"0"	"1"	"2"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3G5F9DBFOPX7ALHZU62MRCXVNQ0HVL"	"ADKKDK6P4MS1Z"	"Approved"	"Thu Feb 12 11:51:47 PST 2015"	"Wed Feb 11 19:10:34 PST 2015"	"Wed Feb 11 19:11:47 PST 2015"	"Wed Feb 11 19:35:29 PST 2015"	""	""	""	""	"""sundae"""	"""chocolate"""	"""middle"""	"""cherry,chocolate,"""	"""cherry,whipped cream,"""	"""whipped cream,chocolate,"""	"""middle"""	"""cherry,whipped cream,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""odd_one"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""to figure out what bob wants"""	"""thx"""	"""35"""	"""m"""	"8"	"0"	"1"	"2"	"0"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3EJPLAJKEMG8MG2SZK0LFRL12NQ6Z9"	"A1KTN4IY60W6BV"	"Approved"	"Thu Feb 12 11:52:26 PST 2015"	"Wed Feb 11 19:10:57 PST 2015"	"Wed Feb 11 19:12:26 PST 2015"	"Wed Feb 11 19:35:29 PST 2015"	""	""	""	""	"""boat"""	"""cabin"""	"""left"""	"""sail,motor,"""	"""cabin,motor,"""	"""cabin,sail,"""	"""right"""	"""cabin,sail,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""twin_2"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""I have no idea"""	""""""	"""24"""	"""f"""	"8"	"0"	"2"	"0"	"1"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3300DTYQT2H3L3UGI6060M1AEITEQ8"	"A3Q6K8V3NWGF1H"	"Approved"	"Thu Feb 12 11:52:42 PST 2015"	"Wed Feb 11 19:09:09 PST 2015"	"Wed Feb 11 19:12:42 PST 2015"	"Wed Feb 11 19:35:29 PST 2015"	""	""	""	""	"""boat"""	"""sail"""	"""right"""	"""cabin,sail,"""	"""sail,motor,"""	"""cabin,motor,"""	"""left"""	"""cabin,sail,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""twin_2"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""sailing boats """	"""this survey was fun"""	"""25"""	"""f"""	"8"	"0"	"0"	"1"	"2"	"""3"""	"-1"
"3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 11 19:02:02 PST 2015"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 18 19:02:02 PST 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3YKP7CX6G2FSLYFNMEK8A3J8EEZ7BA"	"3GM6G9ZBKNXEP7ELG8IKIZH67RJMTJ"	"A221UIIQUG1O22"	"Approved"	"Thu Feb 12 11:52:50 PST 2015"	"Wed Feb 11 19:11:25 PST 2015"	"Wed Feb 11 19:12:50 PST 2015"	"Wed Feb 11 19:35:29 PST 2015"	""	""	""	""	"""Christmas tree"""	"""lights"""	"""middle"""	"""lights,ornaments,"""	"""ornaments,star,"""	"""lights,star,"""	"""left"""	"""lights,ornaments,"""	"0"	"-1"	"0"	"2"	"1"	"0"	"3"	"""2"""	"""2"""	"""2"""	"""TRUE"""	"""twin_1"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Christmas trees"""	""""""	"""22"""	"""m"""	"8"	"0"	"0"	"1"	"2"	"""3"""	"-1"
